kommun;year;status
1764;2022;shortage
1765;2022;surplus
1766;2022;balance
1780;2022;shortage
1781;2022;shortage
1782;2022;surplus
1783;2022;balance
1784;2022;shortage
1785;2022;balance
1814;2022;shortage
1860;2022;surplus
1861;2022;shortage
1862;2022;balance
1863;2022;balance
1864;2022;surplus
1880;2022;shortage
1881;2022;shortage
1882;2022;shortage
1883;2022;shortage
1884;2022;shortage
1885;2022;shortage
1904;2022;balance
1907;2022;shortage
1960;2022;shortage
1961;2022;shortage
1962;2022;shortage
1980;2022;shortage
1981;2022;balance
1982;2022;shortage
1983;2022;balance
1984;2022;balance
2021;2022;shortage
2023;2022;shortage
2026;2022;shortage
2029;2022;shortage
2031;2022;shortage
2034;2022;balance
2039;2022;balance
2061;2022;balance
2062;2022;shortage
2080;2022;shortage
2081;2022;shortage
2082;2022;shortage
2083;2022;balance
2084;2022;shortage
2085;2022;balance
2101;2022;shortage
2104;2022;balance
2121;2022;balance
2132;2022;shortage
2161;2022;balance
2180;2022;shortage
2181;2022;shortage
2182;2022;balance
2183;2022;balance
2184;2022;shortage
2260;2022;shortage
2262;2022;shortage
2280;2022;shortage
2281;2022;shortage
2282;2022;shortage
2283;2022;surplus
2284;2022;balance
2303;2022;balance
2305;2022;surplus
2309;2022;shortage
2313;2022;surplus
2321;2022;shortage
2326;2022;shortage
2380;2022;balance
2401;2022;shortage
2403;2022;shortage
2404;2022;shortage
2417;2022;shortage
2418;2022;balance
2421;2022;surplus
2422;2022;balance
2425;2022;shortage
2460;2022;shortage
2462;2022;surplus
2463;2022;balance
2480;2022;shortage
2481;2022;surplus
2482;2022;shortage
2505;2022;balance
2506;2022;shortage
2510;2022;balance
2513;2022;balance
2514;2022;shortage
2518;2022;surplus
2521;2022;balance
2523;2022;shortage
2560;2022;shortage
2580;2022;shortage
2581;2022;shortage
2582;2022;shortage
2583;2022;surplus
2584;2022;shortage
0114;2023;balance
0115;2023;shortage
0117;2023;shortage
0120;2023;shortage
0123;2023;shortage
0125;2023;shortage
0126;2023;shortage
0127;2023;shortage
0128;2023;shortage
0136;2023;shortage
0138;2023;shortage
0139;2023;shortage
0140;2023;balance
0160;2023;shortage
0162;2023;shortage
0163;2023;shortage
0180;2023;shortage
0181;2023;shortage
0182;2023;shortage
0183;2023;shortage
0184;2023;shortage
0186;2023;shortage
0187;2023;shortage
0188;2023;shortage
0191;2023;shortage
0192;2023;shortage
0305;2023;shortage
0319;2023;shortage
0330;2023;shortage
0331;2023;shortage
0360;2023;shortage
0380;2023;shortage
0381;2023;balance
0382;2023;shortage
0428;2023;shortage
0461;2023;shortage
0480;2023;shortage
0481;2023;balance
0482;2023;shortage
0483;2023;balance
