kommun;period;key;count;per100k
0115;2003;drugs_weapons;85;325.0
0115;2003;person;369;1413.0
0115;2003;theft;1264;4842.0
0115;2003;total;2288;8764.0
0115;2003;vandalism;264;1011.0
0115;2004;burglary;249;936.0
0115;2004;drugs_weapons;68;256.0
0115;2004;person;311;1169.0
0115;2004;theft;1151;4327.0
0115;2004;total;2059;7741.0
0115;2004;vandalism;290;1090.0
0115;2005;burglary;200;737.0
0115;2005;drugs_weapons;115;424.0
0115;2005;person;378;1393.0
0115;2005;theft;1009;3717.0
0115;2005;total;2147;7910.0
0115;2005;vandalism;283;1043.0
0115;2006;burglary;230;832.0
0115;2006;drugs_weapons;150;543.0
0115;2006;person;474;1715.0
0115;2006;theft;1141;4129.0
0115;2006;total;2655;9608.0
0115;2006;vandalism;420;1520.0
0115;2007;burglary;177;629.0
0115;2007;drugs_weapons;144;512.0
0115;2007;person;483;1717.0
0115;2007;theft;1046;3719.0
0115;2007;total;2691;9568.0
0115;2007;vandalism;540;1920.0
0115;2008;burglary;230;802.0
0115;2008;drugs_weapons;157;547.0
0115;2008;person;543;1894.0
0115;2008;theft;1177;4106.0
0115;2008;total;2984;10409.0
0115;2008;vandalism;539;1880.0
0115;2009;burglary;223;765.0
0115;2009;drugs_weapons;208;713.0
0115;2009;person;607;2082.0
0115;2009;theft;1180;4047.0
0115;2009;total;3029;10388.0
0115;2009;vandalism;487;1670.0
0115;2010;burglary;166;558.0
0115;2010;drugs_weapons;209;703.0
0115;2010;person;507;1705.0
0115;2010;theft;980;3296.0
0115;2010;total;2667;8968.0
0115;2010;vandalism;456;1533.0
0115;2011;burglary;173;569.0
0115;2011;drugs_weapons;122;401.0
0115;2011;person;531;1746.0
0115;2011;theft;884;2907.0
0115;2011;total;2460;8088.0
0115;2011;vandalism;425;1397.0
0115;2012;burglary;184;594.0
0115;2012;drugs_weapons;153;495.0
0115;2012;person;557;1799.0
0115;2012;theft;933;3013.0
0115;2012;total;2592;8371.0
0115;2012;vandalism;463;1495.0
0115;2013;burglary;114;363.0
0115;2013;drugs_weapons;116;369.0
0115;2013;person;519;1652.0
0115;2013;theft;755;2403.0
0115;2013;total;2407;7662.0
0115;2013;vandalism;512;1630.0
0115;2014;burglary;126;396.0
0115;2014;drugs_weapons;239;752.0
0115;2014;person;589;1853.0
0115;2014;theft;809;2545.0
0115;2014;total;2851;8968.0
0115;2014;vandalism;640;2013.0
0115;2015;burglary;135;420.0
0115;2015;drugs_weapons;153;476.0
0115;2015;person;527;1638.0
0115;2015;theft;825;2564.0
0115;2015;total;3412;10605.0
0115;2015;vandalism;1345;4180.0
0115;2016;burglary;153;470.0
0115;2016;drugs_weapons;206;632.0
0115;2016;person;728;2234.0
0115;2016;theft;807;2477.0
0115;2016;total;3255;9990.0
0115;2016;vandalism;853;2618.0
0115;2017;burglary;228;691.0
0115;2017;drugs_weapons;101;306.0
0115;2017;person;617;1871.0
0115;2017;theft;857;2599.0
0115;2017;total;2739;8305.0
0115;2017;vandalism;663;2010.0
0115;2018;burglary;204;613.0
0115;2018;drugs_weapons;103;309.0
0115;2018;person;478;1435.0
0115;2018;theft;705;2117.0
0115;2018;total;2479;7444.0
0115;2018;vandalism;698;2096.0
0115;2019;burglary;205;607.0
0115;2019;drugs_weapons;118;350.0
0115;2019;person;492;1457.0
0115;2019;theft;819;2426.0
0115;2019;total;3016;8933.0
0115;2019;vandalism;1064;3152.0
0115;2020;burglary;222;651.0
0115;2020;drugs_weapons;177;519.0
0115;2020;person;495;1451.0
0115;2020;theft;863;2530.0
0115;2020;total;3472;10180.0
0115;2020;vandalism;1432;4199.0
0115;2021;burglary;152;445.0
0115;2021;drugs_weapons;143;419.0
0115;2021;person;438;1281.0
0115;2021;theft;645;1887.0
0115;2021;total;2757;8066.0
0115;2021;vandalism;1025;2999.0
0115;2022;burglary;159;460.0
0115;2022;drugs_weapons;200;579.0
0115;2022;person;490;1418.0
0115;2022;theft;788;2281.0
0115;2022;total;3492;10108.0
0115;2022;vandalism;1273;3685.0
0115;2023;burglary;166;475.0
0115;2023;drugs_weapons;163;466.0
0115;2023;person;601;1719.0
0115;2023;theft;676;1933.0
0115;2023;total;3155;9024.0
0115;2023;vandalism;956;2734.0
0115;2024;burglary;170;485.0
0115;2024;drugs_weapons;159;453.0
0115;2024;person;635;1810.0
0115;2024;theft;618;1762.0
0115;2024;total;3612;10296.0
0115;2024;vandalism;1286;3666.0
0115;2025;burglary;107;304.0
0115;2025;drugs_weapons;138;392.0
0115;2025;person;708;2009.0
0115;2025;theft;551;1564.0
0115;2025;total;3874;10993.0
0115;2025;vandalism;1544;4381.0
0117;1996;burglary;548;1691.0
0117;1996;drugs_weapons;24;75.0
0117;1996;person;450;1389.0
0117;1996;theft;1999;6170.0
0117;1996;total;3123;9640.0
0117;1996;vandalism;430;1327.0
0117;1997;burglary;304;925.0
0117;1997;drugs_weapons;49;150.0
0117;1997;person;470;1430.0
0117;1997;theft;1723;5244.0
0117;1997;total;2941;8950.0
0117;1997;vandalism;467;1421.0
0117;1998;burglary;366;1101.0
0117;1998;drugs_weapons;66;199.0
0117;1998;person;545;1640.0
0117;1998;theft;1829;5504.0
0117;1998;total;3071;9242.0
0117;1998;vandalism;429;1291.0
0117;1999;burglary;408;1213.0
0117;1999;drugs_weapons;35;104.0
0117;1999;person;560;1665.0
0117;1999;theft;1988;5912.0
0117;1999;total;3221;9578.0
0117;1999;vandalism;395;1175.0
0117;2000;burglary;429;1256.0
0117;2000;drugs_weapons;119;349.0
0117;2000;person;611;1789.0
0117;2000;theft;1933;5661.0
0117;2000;total;3737;10945.0
0117;2000;vandalism;456;1336.0
0117;2001;burglary;428;1231.0
0117;2001;drugs_weapons;68;196.0
0117;2001;person;570;1639.0
0117;2001;theft;2346;6748.0
0117;2001;total;3966;11407.0
0117;2001;vandalism;460;1323.0
0117;2002;burglary;423;1196.0
0117;2002;drugs_weapons;97;274.0
0117;2002;person;570;1612.0
0117;2002;theft;2280;6446.0
0117;2002;total;3903;11035.0
0117;2002;vandalism;483;1366.0
0117;2003;burglary;480;1337.0
0117;2003;drugs_weapons;170;474.0
0117;2003;person;565;1573.0
0117;2003;theft;2412;6717.0
0117;2003;total;4570;12727.0
0117;2003;vandalism;840;2339.0
0117;2004;burglary;535;1465.0
0117;2004;drugs_weapons;84;230.0
0117;2004;person;525;1437.0
0117;2004;theft;2185;5982.0
0117;2004;total;3782;10355.0
0117;2004;vandalism;507;1388.0
0117;2005;burglary;369;995.0
0117;2005;drugs_weapons;138;372.0
0117;2005;person;712;1919.0
0117;2005;theft;1905;5135.0
0117;2005;total;3827;10315.0
0117;2005;vandalism;521;1404.0
0117;2006;burglary;295;784.0
0117;2006;drugs_weapons;231;614.0
0117;2006;person;660;1755.0
0117;2006;theft;1950;5185.0
0117;2006;total;3930;10450.0
0117;2006;vandalism;453;1205.0
0117;2007;burglary;314;825.0
0117;2007;drugs_weapons;241;633.0
0117;2007;person;729;1914.0
0117;2007;theft;1899;4987.0
0117;2007;total;4164;10934.0
0117;2007;vandalism;624;1639.0
0117;2008;burglary;247;642.0
0117;2008;drugs_weapons;204;529.0
0117;2008;person;703;1826.0
0117;2008;theft;1568;4072.0
0117;2008;total;3879;10075.0
0117;2008;vandalism;681;1769.0
0117;2009;burglary;282;724.0
0117;2009;drugs_weapons;282;724.0
0117;2009;person;735;1887.0
0117;2009;theft;1683;4321.0
0117;2009;total;3850;9885.0
0117;2009;vandalism;455;1168.0
0117;2010;burglary;256;651.0
0117;2010;drugs_weapons;246;625.0
0117;2010;person;727;1848.0
0117;2010;theft;1560;3965.0
0117;2010;total;3798;9653.0
0117;2010;vandalism;527;1339.0
0117;2011;burglary;247;623.0
0117;2011;drugs_weapons;366;923.0
0117;2011;person;701;1768.0
0117;2011;theft;1442;3636.0
0117;2011;total;3729;9403.0
0117;2011;vandalism;502;1266.0
0117;2012;burglary;229;572.0
0117;2012;drugs_weapons;449;1121.0
0117;2012;person;752;1879.0
0117;2012;theft;1515;3785.0
0117;2012;total;3882;9698.0
0117;2012;vandalism;537;1341.0
0117;2013;burglary;278;688.0
0117;2013;drugs_weapons;416;1031.0
0117;2013;person;741;1835.0
0117;2013;theft;1607;3979.0
0117;2013;total;4066;10069.0
0117;2013;vandalism;480;1189.0
0117;2014;burglary;225;551.0
0117;2014;drugs_weapons;460;1126.0
0117;2014;person;721;1766.0
0117;2014;theft;1432;3507.0
0117;2014;total;4047;9910.0
0117;2014;vandalism;649;1589.0
0117;2015;burglary;207;497.0
0117;2015;drugs_weapons;272;653.0
0117;2015;person;746;1791.0
0117;2015;theft;1266;3039.0
0117;2015;total;3656;8777.0
0117;2015;vandalism;654;1570.0
0117;2016;burglary;240;562.0
0117;2016;drugs_weapons;236;552.0
0117;2016;person;825;1932.0
0117;2016;theft;1315;3079.0
0117;2016;total;4100;9599.0
