kommun;year;value
1490;2017;43061.183867
1490;2018;48892.875608
1490;2019;59564.49518
1490;2020;67234.676469
1490;2021;63281.669895
1490;2022;64625.156189
1490;2023;62584.953574
1490;2024;69386.97855
1490;2025;69402.844548
1491;2015;22949.178514
1491;2016;24325.407125
1491;2017;20206.453737
1491;2018;20166.332583
1491;2019;19518.526026
1491;2020;23176.32772
1491;2021;23053.899912
1491;2022;21264.815995
1491;2023;28660.780484
1491;2024;37918.511107
1491;2025;52561.713553
1492;2015;0.0
1492;2016;0.0
1492;2017;0.0
1492;2018;0.0
1492;2019;0.0
1492;2020;0.0
1492;2021;90.517941
1492;2022;315.651604
1492;2023;833.083458
1492;2024;14491.852847
1492;2025;48760.424694
1493;2015;14636.276671
1493;2016;20845.880652
1493;2017;27698.806093
1493;2018;29620.917446
1493;2019;34150.059094
1493;2020;36732.713254
1493;2021;85408.728714
1493;2022;103617.611434
1493;2023;106178.723577
1493;2024;111907.700443
1493;2025;117471.274723
1494;2015;40310.825707
1494;2016;48335.771632
1494;2017;66405.204273
1494;2018;77372.777652
1494;2019;78653.346304
1494;2020;81786.004761
1494;2021;88227.286209
1494;2022;89385.545147
1494;2023;91878.339377
1494;2024;98711.045145
1494;2025;101290.220273
1495;2015;18308.535086
1495;2016;25440.961062
1495;2017;29310.407048
1495;2018;30036.114504
1495;2019;34317.672665
1495;2020;34614.602835
1495;2021;40401.932522
1495;2022;22417.008798
1495;2023;36425.592366
1495;2024;38982.733736
1495;2025;51634.405162
1496;2015;15468.658389
1496;2016;16403.45076
1496;2017;56135.734425
1496;2018;63682.965781
1496;2019;73577.156442
1496;2020;82281.840432
1496;2021;82065.788551
1496;2022;85249.830326
1496;2023;96744.144175
1496;2024;106283.162342
1496;2025;114730.831274
1497;2015;4017.254815
1497;2016;9332.780725
1497;2017;11960.73903
1497;2018;9364.319965
1497;2019;10540.716612
1497;2020;14383.031748
1497;2021;20234.268385
1497;2022;17658.660608
1497;2023;17547.526464
1497;2024;35301.925134
1497;2025;29643.745977
1498;2015;10335.227721
1498;2016;9751.035399
1498;2017;9127.0757
1498;2018;8596.117867
1498;2019;9385.801028
1498;2020;14603.283815
1498;2021;13777.076023
1498;2022;11149.388582
1498;2023;8600.358283
1498;2024;14916.673175
1498;2025;20498.822236
1499;2015;22064.470487
1499;2016;21451.441809
1499;2017;20407.382774
1499;2018;24482.97391
1499;2019;30892.017085
1499;2020;34257.235694
1499;2021;39120.37872
1499;2022;37430.500421
1499;2023;42102.421873
1499;2024;44365.939157
1499;2025;44229.157773
1715;2015;30079.647517
1715;2016;26253.728814
1715;2017;24879.261125
1715;2018;24555.258318
1715;2019;24237.362456
1715;2020;23252.414362
1715;2021;34819.927477
1715;2022;49722.492778
1715;2023;60385.932975
1715;2024;79304.452367
1715;2025;82520.126414
1730;2015;92.886537
1730;2016;941.825006
1730;2017;4288.117893
1730;2018;4626.239067
1730;2019;7188.229799
1730;2020;14056.140351
1730;2021;18006.007067
1730;2022;20468.892794
1730;2023;38165.078244
1730;2024;44185.211602
1730;2025;51681.384968
1737;2015;30344.248531
1737;2016;29698.414003
1737;2017;30395.29016
1737;2018;30838.808772
1737;2019;31112.258953
1737;2020;33890.380119
1737;2021;44578.103208
1737;2022;50074.489528
1737;2023;51097.391763
1737;2024;53444.130377
1737;2025;56190.636638
1760;2015;21960.813492
1760;2016;23747.89916
1760;2017;21140.189183
1760;2018;24057.213317
1760;2019;24990.034878
1760;2020;25136.842105
1760;2021;25310.790274
1760;2022;23970.633694
1760;2023;22013.154433
1760;2024;26429.250264
1760;2025;18859.412232
1761;2015;32805.512322
1761;2016;35544.674086
1761;2017;41990.849512
1761;2018;54182.309046
1761;2019;73318.746982
1761;2020;92505.459563
1761;2021;98520.01193
1761;2022;107418.43044
1761;2023;106488.488784
1761;2024;113881.061676
1761;2025;117251.889913
1762;2015;20282.555283
1762;2016;20947.030498
1762;2017;15944.724953
1762;2018;22248.61441
1762;2019;22540.106952
1762;2020;22590.604027
1762;2021;24184.782609
1762;2022;36323.155904
1762;2023;34600.436086
1762;2024;47353.103448
1762;2025;41642.012648
1763;2015;10666.315142
1763;2016;10797.22295
1763;2017;11739.508211
1763;2018;12601.753777
1763;2019;13530.306983
1763;2020;14773.169039
1763;2021;12993.796312
1763;2022;19716.099499
1763;2023;27147.425897
1763;2024;32145.3125
1763;2025;32216.102806
1764;2015;44941.307993
1764;2016;42811.431093
1764;2017;42503.606703
1764;2018;42480.035492
1764;2019;47861.169448
1764;2020;49541.0815
1764;2021;47099.769002
1764;2022;45459.967051
1764;2023;46377.60848
1764;2024;61613.838294
1764;2025;64655.748814
1765;2015;22828.756713
1765;2016;21198.835107
1765;2017;19324.68838
1765;2018;18233.143542
1765;2019;21712.214499
1765;2020;28105.842337
1765;2021;25850.533092
1765;2022;25844.664111
1765;2023;37186.39442
1765;2024;37336.386768
1765;2025;37655.229094
1766;2015;8101.150818
1766;2016;5959.031657
1766;2017;4875.853274
1766;2018;7700.022623
1766;2019;10135.277319
1766;2020;10001.949756
1766;2021;12070.08611
1766;2022;10997.46609
1766;2023;13786.024241
1766;2024;25572.177299
1766;2025;27677.100494
1780;2015;23784.548154
1780;2016;17701.966784
1780;2017;17416.220369
1780;2018;22126.025709
1780;2019;17775.863171
1780;2020;42442.19007
1780;2021;35652.450528
1780;2022;39236.238675
1780;2023;51379.212819
1780;2024;51838.770849
1780;2025;60261.819871
1781;2015;18226.163988
1781;2016;14914.474484
1781;2017;15044.624746
1781;2018;15461.702827
1781;2019;18737.414966
1781;2020;24327.986771
1781;2021;22584.132122
1781;2022;22468.881221
1781;2023;31104.673133
1781;2024;33300.513554
1781;2025;43925.13777
1782;2015;15829.835294
1782;2016;14165.510949
1782;2017;13763.887601
1782;2018;11082.402879
1782;2019;10790.116498
1782;2020;12982.005141
1782;2021;21613.957512
1782;2022;34498.303442
1782;2023;58039.366155
1782;2024;67112.418167
1782;2025;70292.987013
1783;2015;19955.76793
1783;2016;15933.708148
1783;2017;16013.155661
1783;2018;16627.799624
1783;2019;19164.397725
1783;2020;19756.360163
