kommun;year;value
0761;2016;11.446402
0761;2017;18.327599
0761;2018;20.299785
0761;2019;22.460707
0761;2021;26.826782
0761;2022;27.342556
0761;2023;26.955907
0761;2024;24.311502
0761;2025;25.842921
0763;2015;6.690483
0763;2016;12.267668
0763;2017;16.621553
0763;2018;19.692239
0763;2019;19.433001
0763;2021;30.099528
0763;2022;35.373637
0763;2023;37.588087
0763;2024;38.782178
0763;2025;35.832739
0764;2015;19.137222
0764;2016;25.055198
0764;2017;29.219841
0764;2018;30.432191
0764;2019;34.412702
0764;2021;29.032024
0764;2022;30.920593
0764;2023;29.464621
0764;2024;27.497957
0764;2025;26.458742
0765;2015;15.196954
0765;2016;14.089079
0765;2017;14.548861
0765;2018;17.264183
0765;2019;16.395235
0765;2021;15.981743
0765;2022;18.587655
0765;2023;15.599084
0765;2024;14.739488
0765;2025;16.054982
0767;2015;34.702704
0767;2016;33.49345
0767;2017;35.397364
0767;2018;38.203407
0767;2019;40.270289
0767;2021;42.656894
0767;2022;40.238512
0767;2023;38.929692
0767;2024;37.197531
0767;2025;28.988291
0780;2015;21.61839
0780;2016;25.772879
0780;2017;25.17272
0780;2018;27.47985
0780;2019;27.465664
0780;2021;29.437384
0780;2022;31.096489
0780;2023;35.600127
0780;2024;35.540272
0780;2025;35.085552
0781;2015;33.320506
0781;2016;34.945465
0781;2017;37.608451
0781;2018;37.48711
0781;2019;38.858513
0781;2021;44.075428
0781;2022;43.598709
0781;2023;45.298154
0781;2024;38.613008
0781;2025;37.477604
0821;2015;-6.205919
0821;2016;-1.973742
0821;2017;2.87805
0821;2018;5.407457
0821;2019;6.516629
0821;2021;12.525433
0821;2022;13.90216
0821;2023;13.710453
0821;2024;11.085593
0821;2025;11.288158
0834;2015;-0.872577
0834;2016;9.947723
0834;2017;14.253759
0834;2018;13.902937
0834;2019;14.321463
0834;2021;12.743018
0834;2022;11.754651
0834;2023;10.62617
0834;2024;8.395032
0834;2025;7.82354
0840;2015;5.804277
0840;2016;7.866144
0840;2017;9.328252
0840;2018;11.925793
0840;2019;12.049874
0840;2021;17.152069
0840;2022;18.3567
0840;2023;21.23767
0840;2024;22.430741
0840;2025;21.345166
0860;2015;-25.727559
0860;2016;-21.792283
0860;2017;-15.675098
0860;2018;-11.16673
0860;2019;-6.142562
0860;2021;4.509783
0860;2022;7.894324
0860;2023;9.053994
0860;2024;5.366141
0860;2025;5.791965
0861;2015;47.377706
0861;2016;52.021882
0861;2017;51.661554
0861;2018;47.906849
0861;2019;44.764825
0861;2021;44.904927
0861;2022;44.289495
0861;2023;41.675904
0861;2024;32.720334
0861;2025;30.927436
0862;2015;-17.195859
0862;2016;-6.137754
0862;2017;-3.866765
0862;2018;-2.840344
0862;2019;0.554421
0862;2021;9.75862
0862;2022;11.402572
0862;2023;10.751737
0862;2024;6.299224
0862;2025;5.252673
0880;2015;5.124927
0880;2016;11.275564
0880;2017;16.578627
0880;2018;17.983412
0880;2019;19.921465
0880;2021;28.246073
0880;2022;33.780534
0880;2023;32.618412
0880;2024;32.322256
0880;2025;31.528357
0881;2015;-5.331707
0881;2016;-1.761291
0881;2017;7.20278
0881;2018;11.878531
0881;2019;11.031748
0881;2021;18.211999
0881;2022;21.366948
0881;2023;17.026304
0881;2024;7.922996
0881;2025;5.322656
0882;2015;38.71861
0882;2016;42.556131
0882;2017;45.213317
0882;2018;44.901528
0882;2019;46.516083
0882;2021;48.302213
0882;2022;46.786959
0882;2023;43.338693
0882;2024;44.45306
0882;2025;46.012032
0883;2015;-7.508304
0883;2016;-1.765634
0883;2017;8.93879
0883;2018;10.403445
0883;2019;13.898441
0883;2021;21.36049
0883;2022;26.897133
0883;2023;26.810069
0883;2024;24.643101
0883;2025;9.739868
0884;2015;19.269574
0884;2016;21.923415
0884;2017;24.701742
0884;2018;26.946313
0884;2019;28.260487
0884;2021;31.823318
0884;2022;32.273613
0884;2023;29.175388
0884;2024;28.842352
0884;2025;30.908755
0885;2015;-12.722911
0885;2016;0.679396
0885;2017;3.72212
0885;2018;6.681192
0885;2019;4.73019
0885;2021;18.856946
0885;2022;23.545053
0885;2023;23.079954
0885;2024;20.802069
0885;2025;22.84471
0980;2018;-3.198847
0980;2019;0.21834
0980;2021;7.263067
0980;2022;10.685083
0980;2023;9.756272
0980;2024;4.636275
0980;2025;5.932485
1060;2015;11.789636
1060;2016;18.997527
1060;2017;20.929089
1060;2018;20.617665
1060;2019;24.778641
1060;2021;30.223577
1060;2022;32.876878
1060;2023;27.9321
1060;2024;22.461664
1060;2025;22.481175
1080;2015;-5.145239
1080;2016;-2.748145
1080;2017;-0.763353
1080;2018;0.637853
1080;2019;2.294836
1080;2021;7.150021
1080;2022;9.328955
1080;2023;9.535524
1080;2024;9.992211
1080;2025;12.148798
1081;2015;-1.834215
1081;2016;1.237167
1081;2017;3.887073
1081;2018;5.707967
1081;2019;7.270651
1081;2021;14.487521
1081;2022;18.734541
1081;2023;19.076678
1081;2024;17.190593
1081;2025;38.60891
1082;2015;23.063111
1082;2016;26.047138
1082;2017;28.703191
1082;2018;24.162458
1082;2019;25.817109
1082;2021;27.018855
1082;2022;27.725471
1082;2023;23.917215
1082;2024;19.520017
1082;2025;17.640823
1083;2015;24.520977
1083;2016;26.92677
1083;2017;32.158677
1083;2018;34.588564
1083;2019;38.267007
1083;2021;46.033612
1083;2022;46.056941
1083;2023;47.903378
1083;2024;46.875949
1083;2025;43.72332
1214;2015;6.457533
1214;2016;10.089895
1214;2017;10.973494
